title,type,genres,year,Genres1,Genres2,Genres3
The Cove,movie,"[""Documentary"",""Crime""]",2009,Documentary,Crime,
The French Kissers,movie,"[""Comedy""]",2009,Comedy,,
Applause,movie,"[""Drama""]",2009,Drama,,
The Expendables,movie,"[""Action"",""Adventure"",""Thriller""]",2010,Action,Adventure,Thriller
We Can Do That,movie,"[""Comedy""]",2008,Comedy,,
French Roast,movie,"[""Animation"",""Short""]",2008,Animation,Short,
The Twilight Saga: Eclipse,movie,"[""Adventure"",""Drama"",""Fantasy""]",2010,Adventure,Drama,Fantasy
Mine,movie,"[""Documentary""]",2009,Documentary,,
Dev D,movie,"[""Comedy"",""Drama"",""Romance""]",2009,Comedy,Drama,Romance
Solitary,movie,"[""Mystery""]",2009,Mystery,,
Brotherhood,movie,"[""Drama""]",2009,Drama,,
Paper Heart,movie,"[""Comedy"",""Drama"",""Romance""]",2009,Comedy,Drama,Romance
Dread,movie,"[""Drama"",""Horror"",""Thriller""]",2009,Drama,Horror,Thriller
Kiss Me Again,movie,"[""Drama"",""Romance""]",2010,Drama,Romance,
Movie 43,movie,"[""Comedy""]",2013,Comedy,,
Trailer Park Boys: Countdown to Liquor Day,movie,"[""Comedy"",""Crime""]",2009,Comedy,Crime,
An American Girl: Chrissa Stands Strong,movie,"[""Drama"",""Family""]",2009,Drama,Family,
Elektra Luxx,movie,"[""Comedy"",""Drama""]",2010,Comedy,Drama,
A Mother's Courage: Talking Back to Autism,movie,"[""Documentary""]",2009,Documentary,,
Lunch Break,movie,"[""Documentary""]",2008,Documentary,,
Rough Cut,movie,"[""Action"",""Drama""]",2008,Action,Drama,
The Box,movie,"[""Drama""]",2003,Drama,,
Villa Amalia,movie,"[""Drama""]",2009,Drama,,
I Knew It Was You: Rediscovering John Cazale,movie,"[""Documentary"",""Short"",""Biography""]",2009,Documentary,Short,Biography
Soundtrack for a Revolution,movie,"[""Documentary"",""History"",""Music""]",2009,Documentary,History,Music
Stricken,movie,"[""Drama"",""Romance""]",2009,Drama,Romance,
Enigma,movie,"[""Short"",""Sci-Fi""]",2009,Short,Sci-Fi,
Prairie Love,movie,"[""Comedy""]",2011,Comedy,,
When the Dragon Swallowed the Sun,movie,"[""Documentary""]",2010,Documentary,,
Flicka 2,movie,"[""Family""]",2010,Family,,
The Christmas Hope,movie,"[""Drama""]",2009,Drama,,
A Somewhat Gentle Man,movie,"[""Comedy"",""Crime"",""Drama""]",2010,Comedy,Crime,Drama
Texas Killing Fields,movie,"[""Crime"",""Drama"",""History""]",2011,Crime,Drama,History
The Hunger Games,movie,"[""Adventure"",""Sci-Fi"",""Thriller""]",2012,Adventure,Sci-Fi,Thriller
Night and Fog,movie,"[""Drama""]",2009,Drama,,
Confucius,movie,"[""Biography"",""Drama"",""History""]",2010,Biography,Drama,History
The Day I Was Not Born,movie,"[""Drama""]",2010,Drama,,
